Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],19,0,7900.0,7805.4097947345945,5674.345500010531,9339.652099995874,1829.0526315789473,0.06357508282582072,0.0,7900,8300,8800,8800,9100,9300,9300,9300,9300,9300,9300
POST,/batch [cascade-11],12,0,7600.0,7543.425408332648,6105.957899999339,8478.388999996241,2006.1666666666667,0.04015268388999203,0.0,7600,8000,8200,8200,8400,8500,8500,8500,8500,8500,8500
POST,/batch [cascade-2],23,0,4700.0,4847.479991308595,106.58250001142733,8226.670400006697,409.60869565217394,0.0769593107891514,0.0,4700,5200,5600,7200,7800,8100,8200,8200,8200,8200,8200
POST,/batch [cascade-3],22,0,5900.0,5854.660300006138,4954.944099998102,6623.570399999153,586.5454545454545,0.07361325379831872,0.0,5900,6300,6300,6400,6600,6600,6600,6600,6600,6600,6600
POST,/batch [cascade-4],18,0,6900.0,6684.332816667545,4177.062600007048,8586.134699988179,764.1666666666666,0.06022902583498805,0.0,7000,7200,7200,7400,8100,8600,8600,8600,8600,8600,8600
POST,/batch [cascade-5],24,0,5500.0,5470.055754165514,4538.759899995057,6616.489999985788,941.3333333333334,0.08030536777998407,0.0,5500,5600,6000,6000,6200,6500,6600,6600,6600,6600,6600
POST,/batch [cascade-6],21,0,6300.0,6165.563485718199,4716.684300015913,7713.352300022962,1118.8095238095239,0.07026719680748605,0.0,6300,6400,6700,7100,7300,7300,7700,7700,7700,7700,7700
POST,/batch [cascade-7],21,0,6800.0,6938.764623809783,5083.848099980969,9445.762100018328,1295.3333333333333,0.07026719680748605,0.0,6800,7800,8300,8400,8600,8600,9400,9400,9400,9400,9400
POST,/batch [cascade-8],19,0,7800.0,7411.015663158124,5322.43830000516,8458.03259999957,1473.5263157894738,0.06357508282582072,0.0,7800,8000,8400,8400,8400,8500,8500,8500,8500,8500,8500
POST,/batch [cascade-9],16,0,7900.0,7641.763243746027,5198.919299989939,8833.25219998369,1650.5,0.05353691185332271,0.0,8200,8400,8700,8700,8800,8800,8800,8800,8800,8800,8800
POST,/batch[10] [burst],15,0,6200.0,6791.3255400004955,5182.339999999385,9020.662700000685,1829.2666666666667,0.05019085486249004,0.0,6200,6900,8000,8100,8300,9000,9000,9000,9000,9000,9000
POST,/batch[10] [mixed],10,0,7900.0,7652.944349998143,5737.632699980168,8548.495499999262,1830.0,0.033460569908326694,0.0,8000,8000,8100,8300,8500,8500,8500,8500,8500,8500,8500
POST,/batch[11] [burst],15,0,6000.0,5735.238786664559,662.7944000065327,8044.928999996046,2007.4666666666667,0.05019085486249004,0.0,6000,6200,6700,6800,6900,8000,8000,8000,8000,8000,8000
POST,/batch[12] [burst],20,0,6300.0,6512.590940004156,4719.325700018089,8598.242100008065,2184.7,0.06692113981665339,0.0,6300,6700,7300,7500,8400,8600,8600,8600,8600,8600,8600
POST,/batch[13] [burst],14,0,5700.0,5985.013635706439,2514.066699979594,8147.3091000225395,2361.4285714285716,0.04684479787165737,0.0,6100,7000,7600,7700,8000,8100,8100,8100,8100,8100,8100
POST,/batch[14] [burst],15,0,6900.0,6679.523180002191,4446.9683000061195,9350.84120000829,2538.266666666667,0.05019085486249004,0.0,6900,7400,7500,8100,8200,9400,9400,9400,9400,9400,9400
POST,/batch[15] [burst],16,0,7400.0,6965.35734374811,1411.210000020219,9000.097399984952,2715.75,0.05353691185332271,0.0,7400,7900,8100,8100,8500,9000,9000,9000,9000,9000,9000
POST,/batch[16] [burst],12,0,7400.0,7704.396500002379,6705.414199997904,8827.577199990628,2891.75,0.04015268388999203,0.0,7500,8000,8400,8400,8800,8800,8800,8800,8800,8800,8800
POST,/batch[17] [burst],19,0,7300.0,7059.092984210062,5238.485500012757,9233.540699991863,3070.842105263158,0.06357508282582072,0.0,7300,7700,8000,8300,9200,9200,9200,9200,9200,9200,9200
POST,/batch[18] [burst],19,0,7700.0,7472.871663154557,5551.310900016688,9118.807399994694,3246.9473684210525,0.06357508282582072,0.0,7700,8200,8500,8500,8800,9100,9100,9100,9100,9100,9100
POST,/batch[19] [burst],18,0,7800.0,7772.377827775523,5622.2993999836035,9141.689899988705,3425.6111111111113,0.06022902583498805,0.0,7800,8500,8800,8800,9100,9100,9100,9100,9100,9100,9100
POST,/batch[20] [burst],20,0,6600.0,6740.10707999696,3573.632199986605,9449.800699978368,3604.35,0.06692113981665339,0.0,6700,7900,8600,8600,9200,9400,9400,9400,9400,9400,9400
POST,/batch[25] [mixed],8,0,7100.0,7406.6643375008425,6460.248199990019,8981.680500000948,4488.875,0.026768455926661355,0.0,7200,7600,8000,8000,9000,9000,9000,9000,9000,9000,9000
POST,/batch[3] [mixed],25,0,6200.0,5829.9200760014355,1561.7485999828205,8952.045499987435,586.8,0.08365142477081673,0.0,6200,6700,7300,7700,8000,8500,9000,9000,9000,9000,9000
POST,/batch[5] [burst],20,0,5900.0,6358.929190003255,4503.311799984658,8650.117100012721,941.45,0.06692113981665339,0.0,6100,7100,7500,7500,8300,8700,8700,8700,8700,8700,8700
POST,/batch[6] [burst],14,0,7200.0,6856.39832142832,3619.643200014252,8507.877600000938,1118.5714285714287,0.04684479787165737,0.0,7400,7700,7700,8200,8400,8500,8500,8500,8500,8500,8500
POST,/batch[7] [burst],15,0,6800.0,6874.757613336745,4464.270700002089,8787.24860001239,1296.1333333333334,0.05019085486249004,0.0,6800,7700,8200,8300,8300,8800,8800,8800,8800,8800,8800
POST,/batch[8] [burst],19,0,7400.0,6669.688789471126,2320.33849999425,9013.24279999244,1473.157894736842,0.06357508282582072,0.0,7400,8200,8300,8500,8900,9000,9000,9000,9000,9000,9000
POST,/batch[9] [burst],20,0,6100.0,6487.679974998173,5096.631699998397,8885.631599987391,1649.75,0.06692113981665339,0.0,6200,6600,7600,7600,8400,8900,8900,8900,8900,8900,8900
GET,/health [mixed],5,0,6500.0,6719.809479994001,5527.234599983785,7880.997600004775,21.0,0.016730284954163347,0.0,6500,7600,7600,7900,7900,7900,7900,7900,7900,7900,7900
GET,/health [throughput],19,0,5800.0,6124.603321057389,3657.923999999184,8993.885900010355,21.0,0.06357508282582072,0.0,5800,6800,7300,7400,7600,9000,9000,9000,9000,9000,9000
GET,/status [mixed],4,0,6900.0,7077.869600005215,5422.849000024144,8041.682500013849,409.75,0.013384227963330678,0.0,7900,7900,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/webhook [burst],111,0,6200.0,6165.037860359466,3319.009900005767,9246.187499986263,175.23423423423424,0.3714123259824263,0.0,6200,6700,7200,7400,7900,8400,8700,8900,9200,9200,9200
POST,/webhook [mixed-steady],78,0,6300.0,6369.949748719451,3538.4583999984898,8903.49620001507,175.19230769230768,0.2609924452849482,0.0,6300,6900,7400,7700,8100,8400,8800,8900,8900,8900,8900
POST,/webhook [resilience-duplicate],30,0,6500.0,6553.379520000696,2470.907700015232,9310.109999991255,175.23333333333332,0.10038170972498008,0.0,6500,7100,7700,7900,8200,8500,9300,9300,9300,9300,9300
