Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],34,0,13000.0,12687.765767646317,9667.019499989692,16410.758599988185,1829.5294117647059,0.0567653033304113,0.0,13000,14000,14000,15000,15000,16000,16000,16000,16000,16000,16000
POST,/batch [cascade-11],31,0,13000.0,12536.426880645693,11486.461299995426,13484.43749998114,2006.483870967742,0.051756600095375006,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
POST,/batch [cascade-12],31,0,13000.0,13024.522822582156,12572.699799988186,14123.633099981816,2184.548387096774,0.051756600095375006,0.0,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000
POST,/batch [cascade-13],30,0,13000.0,13081.42984333584,11735.884499998065,14955.529099999694,2361.133333333333,0.05008703235036291,0.0,13000,13000,13000,13000,15000,15000,15000,15000,15000,15000,15000
POST,/batch [cascade-14],25,0,17000.0,16978.98453200003,14742.958799994085,19059.193299995968,2538.6,0.04173919362530242,0.0,17000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000
POST,/batch [cascade-15],25,0,17000.0,16468.857583997305,14853.147199988598,17951.799400005257,2717.28,0.04173919362530242,0.0,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000
POST,/batch [cascade-16],24,0,18000.0,17950.738491669956,16849.465000006603,19023.428999993484,2894.25,0.040069625880290324,0.0,18000,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/batch [cascade-17],24,0,17000.0,17101.869583332398,15550.962399982382,18193.338100012625,3072.1666666666665,0.040069625880290324,0.0,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000
POST,/batch [cascade-18],23,0,17000.0,17383.740765218492,16648.789900005795,18311.192400025902,3249.4347826086955,0.038400058135278234,0.0,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
POST,/batch [cascade-19],23,0,18000.0,17563.243078264033,15930.346100009046,18517.534699989483,3424.086956521739,0.038400058135278234,0.0,18000,18000,18000,18000,18000,18000,19000,19000,19000,19000,19000
POST,/batch [cascade-20],23,0,19000.0,19286.64903043334,17717.972299986286,20063.804100005655,3601.8695652173915,0.038400058135278234,0.0,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/batch [cascade-21],6,0,20000.0,20308.93764999928,19955.869400000665,20577.510000002803,3778.0,0.010017406470072581,0.0,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
POST,/batch [cascade-2],54,0,7100.0,6030.19982778049,307.54650000017136,8242.184599977918,409.4259259259259,0.09015665823065323,0.0,7100,7400,7600,7600,7900,8100,8200,8200,8200,8200,8200
POST,/batch [cascade-3],46,0,7700.0,7721.91578695872,6334.668900002725,10523.4419000044,587.0869565217391,0.07680011627055647,0.0,7800,8000,8200,8300,8600,9100,11000,11000,11000,11000,11000
POST,/batch [cascade-4],40,0,10000.0,9611.834822499804,7272.6448999892455,11445.639999990817,764.425,0.06678270980048388,0.0,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-5],42,0,9500.0,9524.539149998289,8935.497700003907,10789.469700015616,941.3571428571429,0.07012184529050808,0.0,9500,9600,9700,9800,10000,10000,11000,11000,11000,11000,11000
POST,/batch [cascade-6],39,0,10000.0,9996.838397438973,8239.417400007369,11732.687999989139,1118.1538461538462,0.06511314205547178,0.0,10000,10000,11000,11000,11000,12000,12000,12000,12000,12000,12000
POST,/batch [cascade-7],37,0,10000.0,10081.72838107881,9023.723399994196,11143.629300000612,1295.3783783783783,0.06177400656544759,0.0,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-8],38,0,9500.0,9874.918186844872,8618.38820000412,11424.002699990524,1473.5526315789473,0.06344357431045969,0.0,9600,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-9],38,0,11000.0,10813.444734207893,9028.82900001714,12223.425899981521,1651.1052631578948,0.06344357431045969,0.0,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
POST,/batch[10] [burst],9,0,17000.0,15624.39652222545,8601.589300000342,20479.357900010655,1830.7777777777778,0.015026109705108873,0.0,17000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/batch[10] [mixed],31,0,12000.0,12020.345906452876,5955.446900014067,20132.46120000258,1829.2903225806451,0.051756600095375006,0.0,12000,13000,14000,16000,18000,19000,20000,20000,20000,20000,20000
POST,/batch[11] [burst],15,0,12000.0,13240.604520003157,8228.051700018113,18959.92369999294,2006.1333333333334,0.025043516175181454,0.0,12000,13000,17000,18000,18000,19000,19000,19000,19000,19000,19000
POST,/batch[12] [burst],15,0,10000.0,10856.836846664859,2913.969499990344,18233.88640000485,2184.4,0.025043516175181454,0.0,10000,11000,12000,16000,16000,18000,18000,18000,18000,18000,18000
POST,/batch[13] [burst],19,0,11000.0,12361.660984211516,6606.061099999351,20169.027399999322,2361.4736842105262,0.031721787155229844,0.0,11000,13000,17000,17000,18000,20000,20000,20000,20000,20000,20000
POST,/batch[14] [burst],17,0,9500.0,8783.786705886836,1033.79839999252,16509.467900003074,2537.823529411765,0.02838265166520565,0.0,9500,10000,10000,11000,13000,17000,17000,17000,17000,17000,17000
POST,/batch[15] [burst],23,0,12000.0,12949.76890869388,7268.2242000009865,18998.921100021107,2716.1739130434785,0.038400058135278234,0.0,12000,16000,17000,17000,18000,18000,19000,19000,19000,19000,19000
