Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],23,0,3300.0,3314.7735217365985,2154.0427999862004,4802.696399972774,1829.695652173913,0.07696589709581873,0.0,3300,3500,3700,3700,4500,4800,4800,4800,4800,4800,4800
POST,/batch [cascade-11],18,0,3500.0,3495.2585722300378,2567.0207000221126,4309.986100008246,2006.8333333333333,0.060234180335858145,0.0,3500,3800,3900,3900,4100,4300,4300,4300,4300,4300,4300
POST,/batch [cascade-2],18,0,2200.0,3287.50707222207,1369.9900999781676,9545.717700006207,409.55555555555554,0.060234180335858145,0.0,2200,2400,2900,3200,8900,9500,9500,9500,9500,9500,9500
POST,/batch [cascade-3],21,0,2600.0,2669.9464666668237,1647.8084000118542,3778.159900015453,586.8571428571429,0.0702732103918345,0.0,2600,2800,3300,3300,3400,3500,3800,3800,3800,3800,3800
POST,/batch [cascade-4],26,0,2700.0,2707.9239230806706,1828.994400013471,3642.8288999886718,763.8076923076923,0.0870049271517951,0.0,2800,3000,3000,3100,3300,3600,3600,3600,3600,3600,3600
POST,/batch [cascade-5],23,0,2800.0,2787.6594782624716,1757.6705999963451,4325.819299992872,940.8695652173913,0.07696589709581873,0.0,2800,3000,3100,3100,3500,3700,4300,4300,4300,4300,4300
POST,/batch [cascade-6],23,0,2800.0,2942.6553913040348,1799.2632999958005,5052.6626999781,1118.7826086956522,0.07696589709581873,0.0,2800,3000,3100,3300,4600,4800,5100,5100,5100,5100,5100
POST,/batch [cascade-7],23,0,3000.0,3171.6027217347723,2082.5897000031546,4576.747999992222,1296.1304347826087,0.07696589709581873,0.0,3000,3500,3800,3900,4300,4400,4600,4600,4600,4600,4600
POST,/batch [cascade-8],22,0,3400.0,3376.9827045471175,1910.2667999977712,4934.889500000281,1473.0,0.07361955374382662,0.0,3400,3500,3700,3900,4500,4500,4900,4900,4900,4900,4900
POST,/batch [cascade-9],21,0,3600.0,3516.3795190455858,2479.5927999948617,4463.490899972385,1650.8095238095239,0.0702732103918345,0.0,3600,3800,3900,3900,4100,4300,4500,4500,4500,4500,4500
POST,/batch[10] [burst],7,0,3100.0,3761.4991428521794,2409.6388000180013,8779.506299993955,1831.4285714285713,0.023424403463944834,0.0,3100,3200,3900,3900,8800,8800,8800,8800,8800,8800,8800
POST,/batch[10] [mixed],29,0,3500.0,3582.3960482757057,2199.4541000167374,8791.749800002435,1829.0689655172414,0.09704395720777145,0.0,3500,3700,3700,3900,4500,5000,8800,8800,8800,8800,8800
POST,/batch[11] [burst],15,0,3400.0,3587.335180006145,2429.4985000160523,4488.296299998183,2008.0666666666666,0.050195150279881785,0.0,3400,3700,4200,4200,4300,4500,4500,4500,4500,4500,4500
POST,/batch[12] [burst],15,0,3000.0,3010.7697266658456,1984.3351000163238,3485.3194000024814,2183.8,0.050195150279881785,0.0,3000,3200,3400,3500,3500,3500,3500,3500,3500,3500,3500
POST,/batch[13] [burst],13,0,3300.0,3973.947199997313,2210.7943999872077,9449.129499989795,2360.846153846154,0.04350246357589755,0.0,3300,4100,4200,4600,5000,9400,9400,9400,9400,9400,9400
POST,/batch[14] [burst],16,0,3200.0,3316.4841687557782,2534.2357000045013,4570.51320001483,2537.8125,0.0535414936318739,0.0,3200,3600,3600,3600,4100,4600,4600,4600,4600,4600,4600
POST,/batch[15] [burst],12,0,3200.0,3440.2545666647106,2623.0741000035778,4846.214899996994,2715.5,0.040156120223905425,0.0,3200,3300,4500,4500,4700,4800,4800,4800,4800,4800,4800
POST,/batch[16] [burst],4,0,2600.0,2698.77699999779,1998.8373999949545,3345.531099999789,2890.5,0.013385373407968476,0.0,2900,2900,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/batch[17] [burst],11,0,3600.0,3541.06136363804,2606.7615000065416,4673.098100000061,3070.181818181818,0.03680977687191331,0.0,3600,3700,3700,3700,4100,4700,4700,4700,4700,4700,4700
POST,/batch[18] [burst],5,0,3300.0,3464.346360001946,3035.3882999916095,4114.203000004636,3247.0,0.016731716759960595,0.0,3300,3700,3700,4100,4100,4100,4100,4100,4100,4100,4100
POST,/batch[19] [burst],6,0,3800.0,3933.4365333343158,3009.1783000098076,5012.092899996787,3424.6666666666665,0.020078060111952713,0.0,4000,4000,4100,4100,5000,5000,5000,5000,5000,5000,5000
POST,/batch[20] [burst],9,0,3500.0,4105.114455554738,2567.2362000041176,9650.226400000975,3603.1111111111113,0.030117090167929073,0.0,3500,3600,3700,4300,9700,9700,9700,9700,9700,9700,9700
POST,/batch[25] [mixed],10,0,3900.0,4136.80893999699,3435.8776999870315,5289.628799975617,4487.9,0.03346343351992119,0.0,4000,4500,4600,4700,5300,5300,5300,5300,5300,5300,5300
