Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],25,0,1700.0,1735.651080001844,1168.8488000072539,2503.8529000012204,1829.96,0.0837090817005183,0.0,1700,1900,2000,2100,2300,2300,2500,2500,2500,2500,2500
POST,/batch [cascade-11],20,0,2100.0,2060.710130003281,1305.3272000106517,2724.0271999908146,2007.0,0.06696726536041464,0.0,2100,2200,2400,2400,2600,2700,2700,2700,2700,2700,2700
POST,/batch [cascade-2],15,0,1100.0,2285.014800001712,103.74270001193509,11635.43930000742,409.53333333333336,0.05022544902031098,0.0,1100,1600,1700,2000,9300,12000,12000,12000,12000,12000,12000
POST,/batch [cascade-3],24,0,830.0,993.6149000010724,152.83410000847653,1931.3325000111945,586.5833333333334,0.08036071843249756,0.0,1000,1200,1400,1400,1700,1800,1900,1900,1900,1900,1900
POST,/batch [cascade-4],25,0,1000.0,1261.494036000222,217.12379998643883,2589.3068999866955,764.04,0.0837090817005183,0.0,1000,1500,1900,2200,2300,2400,2600,2600,2600,2600,2600
POST,/batch [cascade-5],27,0,1300.0,1153.8549000009273,291.714300023159,1927.7786999882665,941.6296296296297,0.09040580823655976,0.0,1300,1300,1400,1500,1600,1600,1900,1900,1900,1900,1900
POST,/batch [cascade-6],25,0,1400.0,1513.8846719975118,862.3839000065345,2474.4886999833398,1119.24,0.0837090817005183,0.0,1400,1600,1600,1900,2100,2200,2500,2500,2500,2500,2500
POST,/batch [cascade-7],28,0,1200.0,1341.4873000001535,522.4748000036925,2206.9938000058755,1296.0714285714287,0.0937541715045805,0.0,1400,1500,1700,1700,2000,2000,2200,2200,2200,2200,2200
POST,/batch [cascade-8],26,0,1500.0,1591.7040076948558,828.7885999889113,3308.0148000153713,1473.6538461538462,0.08705744496853902,0.0,1700,1900,2000,2000,2200,2400,3300,3300,3300,3300,3300
POST,/batch [cascade-9],25,0,1800.0,1798.8561680039857,907.5770000054035,2949.5019000023603,1650.36,0.0837090817005183,0.0,1800,1900,2000,2200,2300,2500,2900,2900,2900,2900,2900
POST,/batch[10] [burst],15,0,1900.0,1737.9259933329497,505.41599999996834,3492.307200009236,1828.7333333333333,0.05022544902031098,0.0,1900,1900,2100,2200,2400,3500,3500,3500,3500,3500,3500
POST,/batch[10] [mixed],14,0,1300.0,1477.4608571439915,906.0185999842361,2524.5251999876928,1829.5,0.04687708575229025,0.0,1400,1700,1800,2000,2100,2500,2500,2500,2500,2500,2500
POST,/batch[11] [burst],13,0,1500.0,1526.8937538427194,554.4365999812726,2667.783299984876,2005.0,0.04352872248426951,0.0,1500,1700,1800,1900,2600,2700,2700,2700,2700,2700,2700
POST,/batch[12] [burst],16,0,1500.0,1535.9139875017718,614.713999995729,2699.986199993873,2185.25,0.05357381228833171,0.0,1600,1700,2100,2100,2400,2700,2700,2700,2700,2700,2700
POST,/batch[13] [burst],19,0,1500.0,2027.2780263131656,658.4389999916311,10103.130700008478,2361.3684210526317,0.0636189020923939,0.0,1500,2100,2300,2400,3100,10000,10000,10000,10000,10000,10000
POST,/batch[14] [burst],17,0,1900.0,1885.9055588237586,1122.733199998038,2994.3567999871448,2538.1176470588234,0.05692217555635244,0.0,1900,2200,2200,2300,2500,3000,3000,3000,3000,3000,3000
POST,/batch[15] [burst],12,0,1500.0,1625.1997083309107,1070.1929999922868,2550.497300020652,2717.0,0.04018035921624878,0.0,1700,1800,1900,1900,2100,2600,2600,2600,2600,2600,2600
POST,/batch[16] [burst],10,0,2000.0,2033.9053799951216,1250.2541999856476,2573.330099985469,2891.3,0.03348363268020732,0.0,2100,2200,2300,2400,2600,2600,2600,2600,2600,2600,2600
POST,/batch[17] [burst],16,0,1900.0,1886.8819250001252,882.9805999994278,2820.9644999878947,3069.8125,0.05357381228833171,0.0,1900,2000,2200,2200,2600,2800,2800,2800,2800,2800,2800
POST,/batch[18] [burst],15,0,2100.0,1890.9801866684575,1126.4129000192042,2794.1233000019565,3248.6666666666665,0.05022544902031098,0.0,2100,2100,2100,2500,2600,2800,2800,2800,2800,2800,2800
