Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-2],22,0,640.0,852.3312772714152,103.8698999909684,1956.324600003427,409.5,0.12317505559932569,0.0,750,890,1200,1300,1700,1900,2000,2000,2000,2000,2000
POST,/batch [cascade-3],26,0,770.0,859.3386884615309,284.78240000549704,1505.7968999899458,587.3461538461538,0.14557052025374856,0.0,770,950,1200,1200,1300,1400,1500,1500,1500,1500,1500
POST,/batch [cascade-4],25,0,1100.0,1193.0932840006426,379.1999999957625,3354.2840000009164,764.08,0.13997165409014284,0.0,1100,1400,1500,1800,1900,2600,3400,3400,3400,3400,3400
POST,/batch [cascade-5],30,0,1000.0,1068.0430433324848,253.41209999169223,2253.7448000221048,941.0,0.1679659849081714,0.0,1100,1200,1400,1500,2000,2100,2300,2300,2300,2300,2300
POST,/batch [cascade-6],27,0,1400.0,1310.6789333321137,351.4470999944024,2362.1189999976195,1118.4444444444443,0.15116938641735425,0.0,1400,1500,1800,1800,2000,2000,2400,2400,2400,2400,2400
POST,/batch [cascade-7],25,0,1500.0,1481.4565359987319,807.0458000001963,2289.3259999982547,1295.72,0.13997165409014284,0.0,1500,1700,1900,1900,2000,2100,2300,2300,2300,2300,2300
POST,/batch[10] [burst],14,0,1200.0,1155.5696000016594,504.3642000237014,1704.3656000168994,1830.142857142857,0.07838412629047999,0.0,1200,1400,1400,1500,1600,1700,1700,1700,1700,1700,1700
POST,/batch[10] [mixed],10,0,1500.0,1447.7580700011458,558.3131000166759,2026.8247999774758,1829.8,0.05598866163605713,0.0,1500,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000
POST,/batch[11] [burst],8,0,970.0,1156.614437499229,591.3627999834716,1780.940600001486,2005.75,0.044790929308845706,0.0,1200,1400,1700,1700,1800,1800,1800,1800,1800,1800,1800
POST,/batch[12] [burst],7,0,1000.0,1256.2376285745163,604.4492999790236,2445.136900001671,2184.5714285714284,0.03919206314523999,0.0,1000,1200,2000,2000,2400,2400,2400,2400,2400,2400,2400
