Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-2],22,0,750.0,773.2179999994431,103.12969997175969,1728.0071999994107,409.5,0.12334470907569255,0.0,790,990,1100,1200,1500,1700,1700,1700,1700,1700,1700
POST,/batch [cascade-3],24,0,1100.0,1028.7342291655175,242.89349999162368,1880.5707999854349,586.8333333333334,0.13455786444621004,0.0,1100,1100,1300,1400,1700,1800,1900,1900,1900,1900,1900
POST,/batch [cascade-4],29,0,1100.0,986.9738448308862,203.31979999900796,1743.7220999854617,764.1379310344828,0.1625907528725038,0.0,1100,1200,1300,1300,1500,1700,1700,1700,1700,1700,1700
POST,/batch [cascade-5],29,0,1000.0,1031.7395862115643,253.75650002388284,1817.199300014181,941.5172413793103,0.1625907528725038,0.0,1000,1200,1300,1400,1600,1800,1800,1800,1800,1800,1800
POST,/batch [cascade-6],26,0,1400.0,1482.8328192334784,304.3994000181556,3962.8730000113137,1118.1923076923076,0.14577101981672755,0.0,1400,1600,1700,1700,2700,3100,4000,4000,4000,4000,4000
POST,/batch [cascade-7],25,0,1400.0,1410.3997320006602,797.928599989973,2047.7765999967232,1295.92,0.1401644421314688,0.0,1400,1600,1600,1600,1900,2000,2000,2000,2000,2000,2000
POST,/batch[10] [burst],8,0,810.0,1103.5527249950974,504.4622999848798,2001.5783999988344,1829.625,0.04485262148207002,0.0,1200,1400,1600,1600,2000,2000,2000,2000,2000,2000,2000
POST,/batch[10] [mixed],6,0,900.0,1298.152383339281,803.1484000093769,1749.7774000221398,1830.1666666666667,0.03363946611155251,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,/batch[11] [burst],6,0,1300.0,1346.6581999964546,554.4066000147723,2009.5182999793906,2008.8333333333333,0.03363946611155251,0.0,1300,1300,1800,1800,2000,2000,2000,2000,2000,2000,2000
POST,/batch[12] [burst],13,0,1400.0,1535.1917461599583,831.7303000076208,3054.7172999940813,2184.076923076923,0.07288550990836377,0.0,1400,1500,1600,1700,2000,3100,3100,3100,3100,3100,3100
POST,/batch[13] [burst],11,0,990.0,1174.595027270367,744.6101999958046,1812.2250000014901,2360.818181818182,0.06167235453784627,0.0,990,1300,1600,1600,1600,1800,1800,1800,1800,1800,1800
POST,/batch[14] [burst],14,0,1200.0,1375.7515785712583,706.1950000061188,2316.360099997837,2538.285714285714,0.07849208759362253,0.0,1400,1500,1800,2100,2200,2300,2300,2300,2300,2300,2300
POST,/batch[15] [burst],7,0,1500.0,1522.9509571425817,775.0691999972332,2429.787100001704,2715.4285714285716,0.039246043796811264,0.0,1500,1700,1800,1800,2400,2400,2400,2400,2400,2400,2400
POST,/batch[16] [burst],12,0,1600.0,1597.5222416673205,1196.3308999838773,2019.7270999778993,2894.3333333333335,0.06727893222310502,0.0,1700,1700,1800,1800,1900,2000,2000,2000,2000,2000,2000
POST,/batch[17] [burst],11,0,1400.0,1390.2177545453676,940.2044000162277,1933.2509999803733,3071.4545454545455,0.06167235453784627,0.0,1400,1600,1600,1600,1600,1900,1900,1900,1900,1900,1900
POST,/batch[18] [burst],11,0,1500.0,1476.7434272772252,960.1297000190243,2235.042099986458,3247.2727272727275,0.06167235453784627,0.0,1500,1600,1900,1900,2000,2200,2200,2200,2200,2200,2200
POST,/batch[19] [burst],15,0,1700.0,1685.219099999328,1153.8646999979392,2380.3744000033475,3427.2,0.08409866527888128,0.0,1700,1800,2000,2100,2300,2400,2400,2400,2400,2400,2400
POST,/batch[20] [burst],6,0,2000.0,1845.270333336278,1104.0879000211135,2660.375400009798,3600.8333333333335,0.03363946611155251,0.0,2000,2000,2100,2100,2700,2700,2700,2700,2700,2700,2700
POST,/batch[25] [mixed],2,0,2800.0,3046.459799996228,2759.7377999918535,3333.1818000006024,4491.5,0.011213155370517505,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/batch[3] [mixed],21,0,1200.0,1377.2666190482032,313.7992999982089,2500.205599993933,587.1428571428571,0.11773813139043379,0.0,1200,1400,2000,2000,2000,2200,2500,2500,2500,2500,2500
POST,/batch[5] [burst],11,0,880.0,893.8503818141974,253.27250000555068,1808.2396000099834,940.6363636363636,0.06167235453784627,0.0,880,1300,1400,1400,1500,1800,1800,1800,1800,1800,1800
POST,/batch[6] [burst],12,0,630.0,754.2823666687278,303.7084999959916,1403.6610999901313,1118.8333333333333,0.06727893222310502,0.0,870,940,990,990,1200,1400,1400,1400,1400,1400,1400
POST,/batch[7] [burst],12,0,1100.0,1174.9383333371952,354.70989998430014,1866.9803999946453,1295.25,0.06727893222310502,0.0,1200,1300,1400,1400,1700,1900,1900,1900,1900,1900,1900
POST,/batch[8] [burst],8,0,1100.0,1145.6917000032263,455.9045000059996,1834.4726000213996,1473.75,0.04485262148207002,0.0,1400,1400,1500,1500,1800,1800,1800,1800,1800,1800,1800
POST,/batch[9] [burst],14,0,1300.0,1240.2909071388422,454.89829999860376,1810.7311000057962,1650.2142857142858,0.07849208759362253,0.0,1400,1500,1500,1600,1800,1800,1800,1800,1800,1800,1800
GET,/health [mixed],3,0,810.0,924.5520666687904,711.7712000035681,1251.5975999995135,21.0,0.016819733055776255,0.0,810,810,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/health [throughput],14,0,640.0,722.7754857158288,53.34959999890998,1894.9613999866415,21.0,0.07849208759362253,0.0,660,860,1000,1100,1300,1900,1900,1900,1900,1900,1900
GET,/status [mixed],3,0,650.0,621.1101999894405,303.07759999413975,906.3656999787781,410.6666666666667,0.016819733055776255,0.0,650,650,910,910,910,910,910,910,910,910,910
POST,/webhook [burst],67,0,720.0,811.8256835819486,53.216900007100776,3127.445699996315,175.2537313432836,0.37564070491233637,0.0,720,900,1100,1200,1400,1600,2900,3100,3100,3100,3100
POST,/webhook [mixed-steady],56,0,1000.0,1008.8052214300011,112.0126000023447,2429.919100017287,175.375,0.3139683503744901,0.0,1000,1200,1300,1400,1700,1900,2100,2400,2400,2400,2400
POST,/webhook [resilience-duplicate],15,0,1000.0,1063.3465333279066,155.12839998700656,2030.6447999901138,175.33333333333334,0.08409866527888128,0.0,1000,1200,1800,1800,1800,2000,2000,2000,2000,2000,2000
POST,/webhook [resilience-unique],61,0,1000.0,1034.3891229489093,53.17930001183413,3041.45889999927,175.21311475409837,0.34200123880078387,0.0,1000,1200,1300,1600,1700,2000,3000,3000,3000,3000,3000
POST,/webhook [scalability-large],37,0,900.0,893.9617324315288,53.09610001859255,1799.8320999904536,175.21621621621622,0.20744337435457383,0.0,900,1200,1300,1300,1500,1700,1800,1800,1800,1800,1800
POST,/webhook [scalability-medium],38,0,1100.0,1067.1920236820465,53.36180000449531,1845.0548000109848,175.3684210526316,0.21304995203983257,0.0,1100,1300,1400,1500,1700,1800,1800,1800,1800,1800,1800
POST,/webhook [scalability-small],40,0,1100.0,1113.6346775005222,53.41639998368919,2420.102699979907,175.35,0.22426310741035008,0.0,1200,1400,1500,1800,2100,2400,2400,2400,2400,2400,2400
POST,/webhook [throughput],129,0,1100.0,1047.799402324694,53.26839999179356,3062.4757000186946,175.2170542635659,0.723248521398379,0.0,1100,1200,1300,1500,1700,1900,2700,2800,3100,3100,3100
,Aggregated,818,0,1100.0,1101.673244376562,53.09610001859255,3962.8730000113137,773.3643031784841,4.586180546541659,0.0,1100,1300,1400,1600,1800,2000,2400,2900,4000,4000,4000
