Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],18,0,2400.0,2731.447533334075,1343.925399996806,5094.897400005721,1830.111111111111,0.06029962134395557,0.0,2500,2800,3200,3500,4700,5100,5100,5100,5100,5100,5100
POST,/batch [cascade-11],17,0,2400.0,2478.0408176490764,1839.6836999745574,3195.08949998999,2007.5882352941176,0.05694964238040248,0.0,2400,2700,2700,2900,3000,3200,3200,3200,3200,3200,3200
POST,/batch [cascade-2],18,0,1500.0,1561.357844447937,207.06310000969097,2839.9505999987014,409.1111111111111,0.06029962134395557,0.0,1500,1600,2000,2200,2400,2800,2800,2800,2800,2800,2800
POST,/batch [cascade-3],18,0,1800.0,1980.4850444504862,1294.600299996091,3393.9213999838103,587.0,0.06029962134395557,0.0,1900,1900,2200,2500,3300,3400,3400,3400,3400,3400,3400
POST,/batch [cascade-4],18,0,1900.0,1881.618861102551,1392.7469999762252,2383.969899994554,764.2222222222222,0.06029962134395557,0.0,1900,2000,2100,2100,2300,2400,2400,2400,2400,2400,2400
POST,/batch [cascade-5],19,0,2200.0,2253.188752633593,1346.4916999801062,3865.860399993835,941.578947368421,0.06364960030750866,0.0,2200,2400,2800,2800,3200,3900,3900,3900,3900,3900,3900
POST,/batch [cascade-6],19,0,2300.0,2319.7492684243784,1472.1999000175856,3353.0370000225957,1118.157894736842,0.06364960030750866,0.0,2300,2500,2600,2800,3000,3400,3400,3400,3400,3400,3400
POST,/batch [cascade-7],19,0,2400.0,2427.571494735802,1561.8085000023711,3574.9972999910824,1296.3157894736842,0.06364960030750866,0.0,2400,2700,2700,2800,3200,3600,3600,3600,3600,3600,3600
POST,/batch [cascade-8],18,0,2600.0,2622.5572888926963,1274.7041000111494,3662.6255000010133,1473.3333333333333,0.06029962134395557,0.0,2700,2800,3000,3100,3500,3700,3700,3700,3700,3700,3700
POST,/batch [cascade-9],17,0,3000.0,2905.301935294547,1719.4605999975465,4399.848800007021,1650.0588235294117,0.05694964238040248,0.0,3000,3200,3500,3500,4000,4400,4400,4400,4400,4400,4400
POST,/batch[10] [burst],22,0,2400.0,2274.1539227294693,1072.381600009976,3093.317700026091,1829.8636363636363,0.07369953719816792,0.0,2400,2500,2600,2700,2900,3000,3100,3100,3100,3100,3100
POST,/batch[10] [mixed],9,0,2200.0,2360.444244443594,1725.341000012122,3449.008399999002,1828.2222222222222,0.030149810671977785,0.0,2200,2500,2500,3300,3400,3400,3400,3400,3400,3400,3400
POST,/batch[11] [burst],25,0,2400.0,2355.814244002104,1612.6369000121485,2997.634500003187,2006.96,0.08374947408882717,0.0,2400,2600,2700,2700,2900,2900,3000,3000,3000,3000,3000
POST,/batch[12] [burst],12,0,2900.0,2942.8641333336905,1832.3933999927249,4431.347400008235,2184.6666666666665,0.04019974756263704,0.0,3000,3000,3400,3400,4000,4400,4400,4400,4400,4400,4400
POST,/batch[13] [burst],10,0,2300.0,2460.0066799961496,1946.5188999893144,3669.9589999916498,2362.4,0.03349978963553087,0.0,2400,2400,2500,3100,3700,3700,3700,3700,3700,3700,3700
POST,/batch[14] [burst],19,0,2500.0,2493.8793263205107,774.5964000059757,3882.110999984434,2539.0526315789475,0.06364960030750866,0.0,2500,2900,3000,3000,3800,3900,3900,3900,3900,3900,3900
POST,/batch[15] [burst],17,0,2700.0,2787.9191941174213,1663.4660999989137,4019.0296999935526,2714.4117647058824,0.05694964238040248,0.0,2700,3200,3300,3300,3600,4000,4000,4000,4000,4000,4000
POST,/batch[16] [burst],13,0,2300.0,2319.878038459977,805.088799999794,4044.6712999837473,2894.3076923076924,0.04354972652619013,0.0,2300,2500,2500,2600,3000,4000,4000,4000,4000,4000,4000
POST,/batch[17] [burst],10,0,2800.0,2947.6802299934207,1678.3548000094015,3860.7737999991514,3072.0,0.03349978963553087,0.0,3200,3300,3400,3600,3900,3900,3900,3900,3900,3900,3900
POST,/batch[18] [burst],15,0,2700.0,2900.8313533326145,2144.9994999857154,4150.029000011273,3247.9333333333334,0.050249684453296306,0.0,2700,2800,3200,3500,4000,4200,4200,4200,4200,4200,4200
POST,/batch[19] [burst],12,0,2600.0,2836.8496916712807,1877.3894000041764,4018.5092000174336,3423.9166666666665,0.04019974756263704,0.0,2800,2900,3300,3300,3800,4000,4000,4000,4000,4000,4000
POST,/batch[20] [burst],8,0,2800.0,3008.163999998942,2323.1855999911204,3883.090599993011,3604.125,0.026799831708424697,0.0,3100,3400,3500,3500,3900,3900,3900,3900,3900,3900,3900
POST,/batch[25] [mixed],5,0,3100.0,3244.8143199959304,2581.2483000045177,4056.9439999817405,4486.6,0.016749894817765437,0.0,3100,3600,3600,4100,4100,4100,4100,4100,4100,4100,4100
POST,/batch[3] [mixed],23,0,2300.0,2299.476117390441,1207.5775999983307,3511.9427999889012,586.8260869565217,0.07704951616172101,0.0,2300,2500,2800,2800,3100,3400,3500,3500,3500,3500,3500
POST,/batch[5] [burst],13,0,2200.0,2178.466738459135,1450.0548999931198,2933.9315999823157,941.0769230769231,0.04354972652619013,0.0,2200,2300,2400,2600,2700,2900,2900,2900,2900,2900,2900
