Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-2],22,0,840.0,801.7712636356009,270.34429999184795,1670.9033999941312,409.27272727272725,0.12310821491361452,0.0,850,1100,1100,1200,1200,1400,1700,1700,1700,1700,1700
POST,/batch [cascade-3],26,0,900.0,894.9074538440283,167.4215999955777,2129.2442999838386,587.1923076923077,0.1454915267160899,0.0,980,1100,1200,1200,1600,1600,2100,2100,2100,2100,2100
POST,/batch [cascade-4],28,0,910.0,1023.3363071404581,293.64299998269416,1905.1167000143323,764.0,0.15668318261732758,0.0,1100,1200,1500,1500,1700,1800,1900,1900,1900,1900,1900
POST,/batch [cascade-5],28,0,1100.0,1124.044178571369,253.1042000046,1930.9503000113182,941.2857142857143,0.15668318261732758,0.0,1100,1200,1500,1600,1700,1800,1900,1900,1900,1900,1900
POST,/batch [cascade-6],28,0,1100.0,1196.9729714276452,440.2031999779865,2038.5384999972302,1118.642857142857,0.15668318261732758,0.0,1200,1400,1600,1600,1800,1900,2000,2000,2000,2000,2000
POST,/batch [cascade-7],24,0,1300.0,1444.7085625021525,755.5690000008326,2400.0662000034936,1295.9166666666667,0.1342998708148522,0.0,1400,1700,1800,1900,2000,2200,2400,2400,2400,2400,2400
POST,/batch[10] [burst],11,0,1400.0,1300.6777454522141,733.1843999854755,1803.8606999907643,1830.8181818181818,0.06155410745680726,0.0,1400,1600,1800,1800,1800,1800,1800,1800,1800,1800,1800
POST,/batch[10] [mixed],9,0,1700.0,1422.4649555528433,504.38349999603815,1915.3643999889027,1829.5555555555557,0.05036245155556958,0.0,1700,1700,1900,1900,1900,1900,1900,1900,1900,1900,1900
POST,/batch[11] [burst],13,0,1300.0,1300.4736846196465,555.4277000192087,2130.812799994601,2008.0,0.07274576335804495,0.0,1300,1400,1400,1600,1700,2100,2100,2100,2100,2100,2100
POST,/batch[12] [burst],12,0,1100.0,1213.268325001991,817.2983000113163,1929.3433999991976,2184.3333333333335,0.0671499354074261,0.0,1200,1300,1500,1500,1500,1900,1900,1900,1900,1900,1900
POST,/batch[13] [burst],15,0,1500.0,1414.8528199953337,655.6617000023834,2114.8017000232358,2361.2,0.08393741925928264,0.0,1500,1600,1700,1800,1900,2100,2100,2100,2100,2100,2100
POST,/batch[14] [burst],8,0,1300.0,1332.2821999936423,747.5272000010591,1791.979799978435,2538.125,0.044766623604950734,0.0,1400,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800
POST,/batch[15] [burst],5,0,1500.0,1445.7451800000854,754.9309000023641,1838.411200005794,2714.6,0.02797913975309421,0.0,1500,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800
POST,/batch[16] [burst],13,0,1100.0,1167.8011230766201,805.2523999940604,2248.1953999958932,2892.0,0.07274576335804495,0.0,1100,1300,1300,1300,1700,2200,2200,2200,2200,2200,2200
POST,/batch[17] [burst],12,0,1000.0,1227.7582249953412,855.4100999899674,1897.7636999916285,3071.1666666666665,0.0671499354074261,0.0,1100,1300,1600,1600,1900,1900,1900,1900,1900,1900,1900
POST,/batch[18] [burst],7,0,1400.0,1412.490628580729,905.4651000187732,2072.70120002795,3248.285714285714,0.039170795654331896,0.0,1400,1600,1700,1700,2100,2100,2100,2100,2100,2100,2100
POST,/batch[19] [burst],10,0,1400.0,1527.964319998864,955.1401000062469,2503.5905000113416,3425.3,0.05595827950618842,0.0,1500,1700,1900,2000,2500,2500,2500,2500,2500,2500,2500
POST,/batch[20] [burst],8,0,1700.0,1871.7074750056781,1293.7018000229727,2971.0456000175327,3601.625,0.044766623604950734,0.0,1800,1800,2200,2200,3000,3000,3000,3000,3000,3000,3000
POST,/batch[25] [mixed],4,0,2000.0,2009.2960499896435,1694.950599980075,2294.144799991045,4490.75,0.022383311802475367,0.0,2100,2100,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/batch[3] [mixed],17,0,1200.0,1162.2526235330631,262.68090002122335,2166.1381000012625,586.7647058823529,0.09512907516052031,0.0,1200,1300,1400,1600,1900,2200,2200,2200,2200,2200,2200
POST,/batch[5] [burst],12,0,510.0,676.1546416625303,253.8955999771133,1455.7555000064895,941.5,0.0671499354074261,0.0,590,680,1100,1100,1200,1500,1500,1500,1500,1500,1500
POST,/batch[6] [burst],10,0,660.0,786.4431299996795,304.32440000004135,1277.9518000024837,1117.6,0.05595827950618842,0.0,800,990,1100,1200,1300,1300,1300,1300,1300,1300,1300
POST,/batch[7] [burst],9,0,1100.0,997.0260999915707,387.5681999779772,1832.1037999994587,1295.111111111111,0.05036245155556958,0.0,1100,1300,1400,1400,1800,1800,1800,1800,1800,1800,1800
POST,/batch[8] [burst],6,0,530.0,739.4859833439114,404.7726000135299,1200.6721000070684,1471.6666666666667,0.03357496770371305,0.0,900,900,950,950,1200,1200,1200,1200,1200,1200,1200
POST,/batch[9] [burst],9,0,1300.0,1263.2298000001658,569.3016999866813,2097.1199000196066,1650.6666666666667,0.05036245155556958,0.0,1300,1400,1500,1500,2100,2100,2100,2100,2100,2100,2100
GET,/health [mixed],5,0,850.0,818.5837200086098,15.452499996172264,1769.9269000149798,21.0,0.02797913975309421,0.0,850,1000,1000,1800,1800,1800,1800,1800,1800,1800,1800
GET,/health [throughput],15,0,920.0,906.0374333309786,201.65299999644049,1783.4751000045799,21.0,0.08393741925928264,0.0,920,1100,1300,1400,1600,1800,1800,1800,1800,1800,1800
GET,/status [mixed],5,0,910.0,584.2941200069617,3.330800012918189,955.6297000090126,410.6,0.02797913975309421,0.0,910,950,950,960,960,960,960,960,960,960,960
