Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-2],13,0,470.0,416.75346153743493,102.99009998561814,834.5666000095662,409.53846153846155,0.07253824427178014,0.0,470,510,540,610,830,830,830,830,830,830,830
POST,/batch [cascade-3],17,0,310.0,350.10986470254414,152.79069999814965,983.7479999987409,586.9411764705883,0.09485770404771249,0.0,310,370,470,510,670,980,980,980,980,980,980
POST,/batch [cascade-4],19,0,410.0,480.0174736883491,203.51360001950525,1109.9042000132613,764.2105263157895,0.10601743393567867,0.0,410,460,790,850,990,1100,1100,1100,1100,1100,1100
POST,/batch [cascade-5],22,0,280.0,393.1739681813104,252.96269997488707,1078.2466000237036,941.4090909090909,0.12275702876762794,0.0,280,320,350,620,710,870,1100,1100,1100,1100,1100
POST,/batch [cascade-6],19,0,460.0,621.8413210498463,303.09820000547916,1940.3659999952652,1118.0526315789473,0.10601743393567867,0.0,460,740,770,840,1200,1900,1900,1900,1900,1900,1900
POST,/batch [cascade-7],21,0,530.0,614.7459857124237,353.1305000069551,1287.3747999838088,1294.6666666666667,0.11717716382364485,0.0,530,690,760,840,1100,1200,1300,1300,1300,1300,1300
POST,/batch[10] [burst],13,0,510.0,593.9033846169388,503.3685000089463,869.7061999992002,1830.0,0.07253824427178014,0.0,510,650,660,660,740,870,870,870,870,870,870
POST,/batch[10] [mixed],6,0,630.0,789.536516672039,504.4239000126254,1397.6344999973662,1831.5,0.033479189663898526,0.0,720,720,920,920,1400,1400,1400,1400,1400,1400,1400
POST,/batch[11] [burst],10,0,560.0,606.9647500029532,553.5910000035074,732.517900003586,2006.3,0.05579864943983088,0.0,570,610,690,700,730,730,730,730,730,730,730
POST,/batch[12] [burst],10,0,610.0,745.0632800027961,604.082500009099,1529.1514999989886,2183.6,0.05579864943983088,0.0,610,650,820,820,1500,1500,1500,1500,1500,1500,1500
POST,/batch[13] [burst],9,0,660.0,783.7788777801002,654.2084999964572,1784.0432999946643,2360.4444444444443,0.05021878449584779,0.0,660,660,660,680,1800,1800,1800,1800,1800,1800,1800
POST,/batch[14] [burst],7,0,710.0,854.3745571473015,704.3037999828812,1202.7408000139985,2540.714285714286,0.039059054607881616,0.0,710,950,1000,1000,1200,1200,1200,1200,1200,1200,1200
POST,/batch[15] [burst],16,0,760.0,798.8455187496584,754.118999990169,1088.6178000073414,2716.25,0.0892778391037294,0.0,760,770,800,800,950,1100,1100,1100,1100,1100,1100
POST,/batch[16] [burst],5,0,810.0,886.1976199958008,804.3596999777947,1041.7335000238381,2893.4,0.02789932471991544,0.0,810,970,970,1000,1000,1000,1000,1000,1000,1000,1000
POST,/batch[17] [burst],13,0,860.0,916.5895153889253,854.526100010844,1099.3448999943212,3070.3076923076924,0.07253824427178014,0.0,860,880,990,1000,1100,1100,1100,1100,1100,1100,1100
POST,/batch[18] [burst],6,0,910.0,979.5103333356868,904.2314999969676,1172.9300000006333,3248.8333333333335,0.033479189663898526,0.0,910,910,1100,1100,1200,1200,1200,1200,1200,1200,1200
POST,/batch[19] [burst],13,0,960.0,1001.4738307710594,954.1681999980938,1372.7262999746017,3424.6923076923076,0.07253824427178014,0.0,960,970,970,980,1100,1400,1400,1400,1400,1400,1400
POST,/batch[20] [burst],7,0,1004.3742000125349,1020.5405000015162,1004.3742000125349,1106.5220999880694,3604.4285714285716,0.039059054607881616,0.0,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100
POST,/batch[25] [mixed],4,0,1300.0,1552.5391999981366,1288.2650999817997,2143.408300005831,4488.75,0.02231945977593235,0.0,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/batch[3] [mixed],13,0,400.0,579.8078384586216,152.65120001276955,1208.6051999940537,586.5384615384615,0.07253824427178014,0.0,400,790,930,1000,1000,1200,1200,1200,1200,1200,1200
POST,/batch[5] [burst],9,0,253.0290000140667,317.5119666686644,253.0290000140667,595.873100013705,940.5555555555555,0.05021878449584779,0.0,250,260,320,410,600,600,600,600,600,600,600
POST,/batch[6] [burst],7,0,310.0,348.36337143289194,303.5868000006303,573.8749000011012,1119.142857142857,0.039059054607881616,0.0,310,310,330,330,570,570,570,570,570,570,570
POST,/batch[7] [burst],8,0,400.0,600.0795124964498,353.8537999847904,1526.6886999888811,1296.5,0.0446389195518647,0.0,510,630,670,670,1500,1500,1500,1500,1500,1500,1500
POST,/batch[8] [burst],12,0,403.2805000024382,498.12884166506893,403.2805000024382,1003.178899991326,1473.4166666666667,0.06695837932779705,0.0,400,410,570,570,640,1000,1000,1000,1000,1000,1000
POST,/batch[9] [burst],4,0,454.04370001051575,547.9138750015409,454.04370001051575,827.6858999743126,1650.25,0.02231945977593235,0.0,460,460,830,830,830,830,830,830,830,830,830
GET,/health [mixed],4,0,3,198.5343750056927,2.239900000859052,542.1816000016406,21.0,0.02231945977593235,0.0,250,250,540,540,540,540,540,540,540,540,540
GET,/status [mixed],4,0,2,2.1985249913996086,1.8994999991264194,2.513499988708645,408.5,0.02231945977593235,0.0,2,2,3,3,3,3,3,3,3,3,3
POST,/webhook [burst],66,0,54,115.96691515120311,52.182999992510304,1428.814799990505,175.1969696969697,0.3682710863028838,0.0,54,88,120,140,210,280,360,1400,1400,1400,1400
POST,/webhook [mixed-steady],26,0,320.0,300.63271538417143,52.307299978565425,843.7337999930605,175.34615384615384,0.14507648854356028,0.0,330,360,390,440,610,690,840,840,840,840,840
POST,/webhook [resilience-duplicate],24,0,190.0,301.9176625008792,52.49030000413768,1005.3339000151027,175.16666666666666,0.1339167586555941,0.0,190,300,470,480,770,960,1000,1000,1000,1000,1000
POST,/webhook [resilience-unique],86,0,320.0,376.69221511473444,52.13070000172593,1431.525399995735,175.32558139534885,0.47986838518254554,0.0,320,450,530,620,820,940,1000,1400,1400,1400,1400
POST,/webhook [scalability-large],30,0,180.0,344.500826667839,52.46770000667311,1218.8252999912947,175.2,0.16739594831949264,0.0,210,400,550,690,960,1200,1200,1200,1200,1200,1200
POST,/webhook [scalability-medium],21,0,250.0,395.42148571040127,52.38459998508915,1103.1757000018843,175.28571428571428,0.11717716382364485,0.0,250,480,670,700,860,950,1100,1100,1100,1100,1100
POST,/webhook [scalability-small],23,0,220.0,426.5720434815866,52.44850000599399,1990.2655000041705,175.2608695652174,0.12833689371161103,0.0,220,490,600,950,1100,1200,2000,2000,2000,2000,2000
,Aggregated,567,0,380.0,466.3562029982035,1.8994999991264194,2143.408300005831,931.8871252204585,3.1637834232384106,0.0,380,600,710,790,970,1100,1300,1500,2100,2100,2100
