Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],22,0,9900.0,9581.328154544199,6945.678700023564,11243.93689999124,1829.7272727272727,0.07354033606989638,0.0,9900,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-11],11,0,9800.0,9821.459300001152,9097.153000009712,11427.91960001341,2008.0,0.03677016803494819,0.0,9800,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-2],25,0,7600.0,7086.164643999655,760.0911000045016,10958.565400011139,409.8,0.08356856371579134,0.0,7600,8300,9400,10000,11000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-3],21,0,8400.0,8659.285719046326,7128.535700001521,10388.52659999975,586.6190476190476,0.07019759352126473,0.0,8400,9100,9300,9500,9900,10000,10000,10000,10000,10000,10000
POST,/batch [cascade-4],23,0,8100.0,7866.189973910957,6089.157500013243,9225.568800000474,764.5217391304348,0.07688307861852803,0.0,8100,8300,8500,8500,9100,9200,9200,9200,9200,9200,9200
POST,/batch [cascade-5],23,0,7500.0,8099.626386955724,6737.930900009815,10170.598400000017,941.6521739130435,0.07688307861852803,0.0,7500,8200,9200,9500,10000,10000,10000,10000,10000,10000,10000
POST,/batch [cascade-6],20,0,8500.0,9481.070480000926,7761.6738000069745,11834.038300003158,1118.25,0.06685485097263306,0.0,8900,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000
POST,/batch [cascade-7],22,0,8700.0,8782.480499996878,7656.503899983363,10382.81779998215,1296.3181818181818,0.07354033606989638,0.0,8900,9200,9300,9300,9700,9700,10000,10000,10000,10000,10000
POST,/batch [cascade-8],21,0,9300.0,9341.699561906613,8031.937399995513,11212.226700008614,1472.7142857142858,0.07019759352126473,0.0,9300,9500,9800,10000,11000,11000,11000,11000,11000,11000,11000
POST,/batch [cascade-9],22,0,8800.0,8878.4854318219,7790.881900000386,10059.707300009904,1650.3636363636363,0.07354033606989638,0.0,8800,8900,9000,9500,9700,9900,10000,10000,10000,10000,10000
POST,/batch[10] [burst],14,0,8500.0,8719.045192853499,7037.515399977565,10788.276500010397,1828.357142857143,0.046798395680843145,0.0,8800,9300,9900,10000,10000,11000,11000,11000,11000,11000,11000
POST,/batch[10] [mixed],16,0,9000.0,8672.198700003719,507.1272000204772,11690.752399998019,1829.9375,0.05348388077810646,0.0,9100,9600,10000,10000,11000,12000,12000,12000,12000,12000,12000
