Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],24,0,22000.0,21030.90123333459,18016.811900015455,23734.276999981375,1830.375,0.08037440586577194,0.0,22000,22000,23000,23000,23000,23000,24000,24000,24000,24000,24000
POST,/batch [cascade-11],4,0,20000.0,20368.858450005064,19572.99299997976,21410.052500024904,2005.75,0.013395734310961988,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
POST,/batch [cascade-2],39,0,15000.0,11744.347533330512,659.316300007049,18071.704000001773,409.38461538461536,0.13060840953187938,0.0,15000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000
POST,/batch [cascade-3],26,0,17000.0,16443.607515386808,14773.672100011026,18259.52699998743,586.5769230769231,0.08707227302125292,0.0,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000
POST,/batch [cascade-4],24,0,18000.0,17599.092474997935,16606.45469999872,18769.07619999838,763.5833333333334,0.08037440586577194,0.0,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000
POST,/batch [cascade-5],22,0,18000.0,18333.703281815608,16908.66279997863,19426.529099990148,941.0454545454545,0.07367653871029094,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/batch [cascade-6],26,0,18000.0,17783.19930384728,16568.411400017794,19486.42820000532,1118.7307692307693,0.08707227302125292,0.0,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000
POST,/batch [cascade-7],24,0,18000.0,17903.172333335533,16246.573100012029,20577.811099996325,1296.4166666666667,0.08037440586577194,0.0,18000,18000,18000,19000,20000,20000,21000,21000,21000,21000,21000
POST,/batch [cascade-8],22,0,19000.0,19430.79237272402,18270.281600009184,20782.65249999822,1473.3181818181818,0.07367653871029094,0.0,19000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
POST,/batch [cascade-9],23,0,18000.0,18295.237943476935,16991.1186999816,19335.631900001317,1650.5217391304348,0.07702547228803143,0.0,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/batch[10] [burst],13,0,18000.0,17798.101069231052,10607.434200006537,23243.046899995534,1830.0,0.04353613651062646,0.0,18000,18000,19000,20000,20000,23000,23000,23000,23000,23000,23000
