Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/batch [cascade-10],20,0,3800.0,3976.068709998799,3049.910200003069,5356.993699999293,1829.3,0.06695618996000367,0.0,3900,4300,4500,4500,5000,5400,5400,5400,5400,5400,5400
POST,/batch [cascade-11],17,0,3700.0,3734.368817646207,2750.6214000168256,5182.907100010198,2006.0,0.05691276146600313,0.0,3700,4200,4200,4200,4400,5200,5200,5200,5200,5200,5200
POST,/batch [cascade-2],22,0,2100.0,2013.534781816733,105.72500000125729,3323.854400019627,409.59090909090907,0.07365180895600405,0.0,2200,2400,2400,2800,2900,3200,3300,3300,3300,3300,3300
POST,/batch [cascade-3],22,0,2600.0,2647.604940906273,1517.5569000130054,3857.872299995506,587.0909090909091,0.07365180895600405,0.0,2700,2800,3000,3400,3500,3800,3900,3900,3900,3900,3900
POST,/batch [cascade-4],22,0,2800.0,2846.6843045448927,2239.3217000062577,3888.236099999631,764.0909090909091,0.07365180895600405,0.0,2900,3000,3200,3400,3500,3500,3900,3900,3900,3900,3900
POST,/batch [cascade-5],19,0,2900.0,3759.5967105268132,1771.4856999809854,6382.108699996024,941.2105263157895,0.0636083804620035,0.0,2900,4000,5700,6000,6400,6400,6400,6400,6400,6400,6400
POST,/batch [cascade-6],24,0,2900.0,2887.1410291661355,2205.886699986877,3899.7577000118326,1118.875,0.08034742795200442,0.0,2900,3000,3300,3300,3500,3500,3900,3900,3900,3900,3900
POST,/batch [cascade-7],26,0,2800.0,2768.0715307685136,2196.655000007013,3451.1249999923166,1296.3076923076924,0.08704304694800478,0.0,2800,2900,2900,3000,3200,3300,3500,3500,3500,3500,3500
POST,/batch [cascade-8],22,0,3300.0,3287.5174545452783,1712.9543999908492,4717.9039000184275,1473.0,0.07365180895600405,0.0,3400,3600,3700,3700,4600,4600,4700,4700,4700,4700,4700
POST,/batch [cascade-9],23,0,3100.0,3345.7905086941773,1828.770699998131,4783.8641999987885,1651.304347826087,0.07699961845400423,0.0,3100,3400,4200,4300,4500,4500,4800,4800,4800,4800,4800
POST,/batch[10] [burst],9,0,3200.0,3624.3196111075426,794.8057999892626,7700.06210001884,1829.5555555555557,0.030130285482001657,0.0,3200,3400,3700,5300,7700,7700,7700,7700,7700,7700,7700
POST,/batch[10] [mixed],8,0,2800.0,3022.8460250036733,1287.0555999979842,4757.936499983771,1828.75,0.02678247598400147,0.0,3200,3300,4000,4000,4800,4800,4800,4800,4800,4800,4800
POST,/batch[11] [burst],10,0,3300.0,3332.5592099979986,2355.258600000525,4637.763799983077,2007.0,0.03347809498000184,0.0,3400,3400,3500,4200,4600,4600,4600,4600,4600,4600,4600
POST,/batch[12] [burst],12,0,2900.0,3067.9626333294436,1960.7816999778152,4306.758399994578,2184.4166666666665,0.04017371397600221,0.0,3000,3000,3800,3800,3800,4300,4300,4300,4300,4300,4300
POST,/batch[13] [burst],8,0,3200.0,2983.6725749955804,760.3885999997146,4035.8148999803234,2360.625,0.02678247598400147,0.0,3300,3300,3600,3600,4000,4000,4000,4000,4000,4000,4000
POST,/batch[14] [burst],13,0,3500.0,3347.432730766461,811.8366000126116,5277.665900008287,2539.3076923076924,0.04352152347400239,0.0,3500,3600,3700,3800,4800,5300,5300,5300,5300,5300,5300
POST,/batch[15] [burst],14,0,3300.0,3287.4706071535393,1344.6300000068732,4034.9113999982364,2715.9285714285716,0.046869332972002575,0.0,3300,3600,3800,3900,4000,4000,4000,4000,4000,4000,4000
POST,/batch[16] [burst],5,0,4100.0,4135.321260005003,3329.7833999968134,5053.884199995082,2893.4,0.01673904749000092,0.0,4100,4900,4900,5100,5100,5100,5100,5100,5100,5100,5100
POST,/batch[17] [burst],16,0,3600.0,3933.6822375007614,2798.866300028749,7949.825400020927,3070.75,0.05356495196800294,0.0,3600,3900,4200,4200,5200,7900,7900,7900,7900,7900,7900
POST,/batch[18] [burst],12,0,3800.0,4131.768000004134,3225.3080000227783,5442.962600005558,3248.3333333333335,0.04017371397600221,0.0,4100,4600,4900,4900,5000,5400,5400,5400,5400,5400,5400
POST,/batch[19] [burst],15,0,3600.0,3606.3074533342538,1674.6929000073578,4874.865399993723,3424.4666666666667,0.05021714247000276,0.0,3600,3800,4100,4300,4400,4900,4900,4900,4900,4900,4900
POST,/batch[20] [burst],11,0,3400.0,3471.9415181872055,1035.8741000236478,5304.662700014887,3603.0,0.036825904478002026,0.0,3400,3500,4100,4100,4700,5300,5300,5300,5300,5300,5300
POST,/batch[25] [mixed],8,0,4800.0,5297.186887502903,4077.270599984331,7422.579500009306,4487.0,0.02678247598400147,0.0,5000,6100,6200,6200,7400,7400,7400,7400,7400,7400,7400
POST,/batch[3] [mixed],24,0,2700.0,2848.753520830845,1264.6009999734815,4471.897899988107,586.9583333333334,0.08034742795200442,0.0,2800,2800,3500,3800,4000,4100,4500,4500,4500,4500,4500
POST,/batch[5] [burst],7,0,3100.0,2769.8390999908693,253.8983999984339,3743.8106999907177,941.7142857142857,0.023434666486001288,0.0,3100,3300,3400,3400,3700,3700,3700,3700,3700,3700,3700
POST,/batch[6] [burst],8,0,2900.0,3093.3460375017603,2504.94779998553,3975.881799997296,1119.375,0.02678247598400147,0.0,3100,3200,3900,3900,4000,4000,4000,4000,4000,4000,4000
POST,/batch[7] [burst],14,0,2700.0,3028.5835000021116,2169.3290999974124,5921.457799995551,1295.642857142857,0.046869332972002575,0.0,2700,3000,3200,3500,3600,5900,5900,5900,5900,5900,5900
POST,/batch[8] [burst],8,0,3400.0,3435.7380749970616,1560.4928999964613,4631.904899986694,1473.125,0.02678247598400147,0.0,3600,4000,4200,4200,4600,4600,4600,4600,4600,4600,4600
POST,/batch[9] [burst],9,0,3200.0,3367.5800888902613,2793.7761999783106,4448.234900017269,1650.888888888889,0.030130285482001657,0.0,3200,3600,3700,3800,4400,4400,4400,4400,4400,4400,4400
